Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Gemygorvirus,Gemygorvirus stara1,starling associated gemygorvirus 1,P14,KF371632,Complete genome,StGGV1
Gemykibivirus,Gemykibivirus abati1,Genomoviridae sp. ctbb79,,MK032696,Complete genome,
Gemykibivirus,Gemykibivirus abati2,Genomoviridae sp. ctbi86,,MK032759,Complete genome,
Gemykibivirus,Gemykibivirus anima1,porcine feces-associated gemycircularvirus,BEL/15V010,KY214433,Complete genome,
Gemykibivirus,Gemykibivirus badas1,badger associated gemykibivirus 1,588t,KP263543,Complete genome,BGKV1
Gemykibivirus,Gemykibivirus bemta1,Bemisia-associated genomovirus NfO,,KY230625,Complete genome,
Gemykibivirus,Gemykibivirus blabi1,blackbird associated gemykibivirus 1,P22,KF371633,Complete genome,BbGKV1
Gemykibivirus,Gemykibivirus blaro1,black robin associated gemykibivirus 1,P21,KF371634,Complete genome,BRGKV1
Gemykibivirus,Gemykibivirus bovas1,bovine associated gemykibivirus 1,HCBI8.215,LK931483,Complete genome,BGKV1
Gemykibivirus,Gemykibivirus canfam1,Canine feces-associated gemycircularvirus,South Douro,KY214441,Complete genome,
Gemykibivirus,Gemykibivirus cowchi1,Cattle blood-associated gemycircularvirus,BGmv001,MF669480,Complete genome,
Gemykibivirus,Gemykibivirus cybusi1,Cybaeus spider associated circular virus 2,BC_I1644B_C3,MH545507,Complete genome,
Gemykibivirus,Gemykibivirus cynas1,plant associated genomovirus 3,QS36_F24,MH939438,Complete genome,
Gemykibivirus,Gemykibivirus draga1,dragonfly associated gemykibivirus 1,FL1-2X-2010,JX185430,Complete genome,DGKV1
Gemykibivirus,Gemykibivirus echi1,thrips-associated genomovirus 3,thrp_197938,KY308269,Complete genome,
Gemykibivirus,Gemykibivirus galga1,chicken genomovirus mg7_73,,MN379612,Complete genome,
Gemykibivirus,Gemykibivirus galga2,chicken genomovirus mg8_401,,MN379615,Complete genome,
Gemykibivirus,Gemykibivirus galga3,chicken genomovirus mg4_1218,,MN379608,Complete genome,
Gemykibivirus,Gemykibivirus giapa1,giant panda associated gemycircularvirus,gpge014,MF327571,Complete genome,
Gemykibivirus,Gemykibivirus hadtis1,Genomoviridae sp. ctcf212,,MK032708,Complete genome,
Gemykibivirus,Gemykibivirus haeme1,finch associated genomovirus 3,S30P_D,MK249305,Complete genome,
Gemykibivirus,Gemykibivirus haeme2,Gopherus associated genomovirus 1,Tor2_591165,MF373638,Complete genome,
Gemykibivirus,Gemykibivirus haeme3,finch associated genomovirus 2,A2N_B,MK249239,Complete genome,
Gemykibivirus,Gemykibivirus haeme4,finch associated genomovirus 4,A2N_A,MK249240,Complete genome,
Gemykibivirus,Gemykibivirus haeme5,finch associated genomovirus 1,E50N_A,MK249294,Complete genome,
Gemykibivirus,Gemykibivirus hipla1,bat gemycircularvirus,DXHL6,MK050014,Complete genome,
Gemykibivirus,Gemykibivirus humas1,human associated gemykibivirus 1,MSSI2.225,LK931485,Complete genome,HGKV1
Gemykibivirus,Gemykibivirus humas2,human associated gemykibivirus 2,SL1,KP133075,Complete genome,HGKV2
Gemykibivirus,Gemykibivirus humas3,human associated gemykibivirus 3,GemyC1c,KP987887,Complete genome,HGKV3
Gemykibivirus,Gemykibivirus humas4,human associated gemykibivirus 4,GeTz1,KT363839,Complete genome,HGKV4
Gemykibivirus,Gemykibivirus humas5,human associated gemykibivirus 5,HV-GcV2,KU343137,Complete genome,HGKV5
Gemykibivirus,Gemykibivirus hydro1,capybara genomovirus 4,cap1_57,MK483076,Complete genome,
Gemykibivirus,Gemykibivirus hydro2,capybara genomovirus 2,cap1_52,MK483073,Complete genome,
Gemykibivirus,Gemykibivirus hydro3,capybara genomovirus 12,cap1_1725,MK483084,Complete genome,
Gemykibivirus,Gemykibivirus minti1,Genomoviridae sp. ctcg277,,MK032742,Complete genome,
Gemykibivirus,Gemykibivirus monas1,mongoose associated gemykibivirus 1,160b,KP263545,Complete genome,MGKV1
Gemykibivirus,Gemykibivirus mouti1,Genomoviridae sp. ctba85,,MK032703,Complete genome,
Gemykibivirus,Gemykibivirus mouti2,Genomoviridae sp. ctci83,,MK032748,Complete genome,
Gemykibivirus,Gemykibivirus pitis1,Genomoviridae sp. ctbf8,,MK032749,Complete genome,
Gemykibivirus,Gemykibivirus pitis2,Genomoviridae sp. ctdb7,,MK032721,Complete genome,
Gemykibivirus,Gemykibivirus planta1,plant associated genomovirus 2,277_BA530,MH939363,Complete genome,
Gemykibivirus,Gemykibivirus planta2,plant associated genomovirus 29,Sag_SP219,MK947376,Complete genome,
Gemykibivirus,Gemykibivirus ptero1,pteropus associated gemykibivirus 1,Tbat_A_64418,KT732813,Complete genome,PtGKV1
Gemykibivirus,Gemykibivirus raski1,Genomoviridae sp. ctbh29,,MK032704,Complete genome,
Gemykibivirus,Gemykibivirus rhina1,rhinolophus associated gemykibivirus 1,BtRh-CV-6/Tibet2013,KJ641737,Complete genome,RGKV1
Gemykibivirus,Gemykibivirus rhina2,rhinolophus associated gemykibivirus 2,BtRf-CV-8/NM2013,KJ641726,Complete genome,RGKV2
Gemykibivirus,Gemykibivirus sewopo1,sewage derived gemykibivirus 1,BS4149,KJ547643,Complete genome,SeGKV1
Gemykibivirus,Gemykibivirus sewopo2,sewage derived gemykibivirus 2,BS3911,KJ547642,Complete genome,SeGKV2
Gemykibivirus,Gemykibivirus turti1,Genomoviridae sp. cthd64,,MK012443,Complete genome,
Gemykibivirus,Gemykibivirus waste1,Genomoviridae sp. 6434_414,,MT309857,Complete genome,
Gemykibivirus,Gemykibivirus womot1,Genomoviridae sp. ctgi38,,MK032756,Complete genome,
Gemykolovirus,Gemykolovirus abati1,Genomoviridae sp. ctbe80,,MK032717,Complete genome,
Gemykolovirus,Gemykolovirus citas1,Citrus Tunisia genomovirus 1b,CTGV/1b/TUN/2015,MN708482,Complete genome,
Gemykolovirus,Gemykolovirus derva1,tick-associated genomovirus 2,tick24_130,MF173066,Complete genome,
Gemykolovirus,Gemykolovirus easlu1,grasshopper associated circular virus 1,FL_SDBVL,MH545499,Complete genome,
Gemykolovirus,Gemykolovirus echia1,thrips-associated genomovirus 4,thrp_197937,KY308270,Complete genome,
Gemykolovirus,Gemykolovirus gopha1,tortoise genomovirus 9,Tor_36_tor6,MK570209,Complete genome,
Gemykolovirus,Gemykolovirus gopha2,tortoise genomovirus 13,Tor_153,MK570213,Complete genome,
Gemykolovirus,Gemykolovirus hadtis1,Genomoviridae sp. ctce205,,MK032747,Complete genome,
Gemykolovirus,Gemykolovirus heris1,plant associated genomovirus 7,1409_BA530,MH939374,Complete genome,
Gemykolovirus,Gemykolovirus lepam1,Alces alces faeces associated genomovirus MP68,,MG641203,Complete genome,
Gemykolovirus,Gemykolovirus poaspe1,plant associated genomovirus 9,A97_GP1,MH939382,Complete genome,
Gemykolovirus,Gemykolovirus prupe1,Amygdalus persica genomoviridae,pt059-gen-3,MN823669,Complete genome,
Gemykolovirus,Gemykolovirus ptero1,pteropus associated gemykolovirus 1,Tbat_A_103779,KT732798,Complete genome,PtGKoV1
Gemykolovirus,Gemykolovirus ptero2,pteropus associated gemykolovirus 2,Tbat_H_103921,KT732800,Complete genome,PtGKoV2
Gemykolovirus,Gemykolovirus segpa1,tubeweb spider associated circular virus 1,BC I1652A_F12,MH545501,Complete genome,
Gemykolovirus,Gemykolovirus troti1,Genomoviridae sp. ctbi78,,MK032739,Complete genome,
Gemykrogvirus,Gemykrogvirus abati1,Genomoviridae sp. ctea93,,MK032716,Complete genome,
Gemykrogvirus,Gemykrogvirus apime1,Apis mellifera genomovirus 2,BNH_406,MH973741,Complete genome,
Gemykrogvirus,Gemykrogvirus bovas1,bovine associated gemykrogvirus 1,HCB19.212,LK931484,Complete genome,BGKrV1
Gemykrogvirus,Gemykrogvirus carib1,caribou associated gemykrogvirus 1,FaGmCV-13,KJ938717,Complete genome,BGKrV1
Gemykrogvirus,Gemykrogvirus galga1,chicken genomovirus mg4_1247,,MN379609,Complete genome,
