Genus,Species,Virus_name,Isolate,Accession,Available_sequence,Abbrev
Scleroulivirus,Scleroulivirus cladosporii,Cladosporium uredinicola ourmia-like virus 1,CREA-VE-14AS3,MK584840,Coding-complete genome,CuOLV1
Scleroulivirus,Scleroulivirus deltaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 62,DMG-B_52062,MN532649,Coding-complete genome,PavOLV62
Scleroulivirus,Scleroulivirus epsilonplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 63,DMG-B_Contig3,MN532650,Coding-complete genome,PavOLV63
Scleroulivirus,Scleroulivirus etaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 68,DMG-A_2974,MN532655,Coding-complete genome,PavOLV68
Scleroulivirus,Scleroulivirus gammaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 47,DMS10_431,MN532634,Coding-complete genome,PavOLV47
Scleroulivirus,Scleroulivirus iotaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 70,DMS8_24225,MN532657,Coding-complete genome,PavOLV70
Scleroulivirus,Scleroulivirus kappaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 71,DMG-B_53902,MN532658,Coding-complete genome,PavOLV71
Scleroulivirus,Scleroulivirus lambdaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 72,DMG-F_43929,MN532659,Coding-complete genome,PavOLV72
Scleroulivirus,Scleroulivirus miplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 73,DMS5_37835,MN532660,Coding-complete genome,PavOLV73
Scleroulivirus,Scleroulivirus niplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 74,DMG-C_28482,MN532661,Coding-complete genome,PavOLV74
Scleroulivirus,Scleroulivirus oidiodendronae,Oidiodendron maius ourmia-like virus 1,MUT1382,MN736966,Coding-complete genome,OmOLV1
Scleroulivirus,Scleroulivirus omicronplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 76,DMS2_8134,MN532663,Coding-complete genome,PavOLV76
Scleroulivirus,Scleroulivirus piplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 77,DMG-D_18755,MN532664,Coding-complete genome,PavOLV77
Scleroulivirus,Scleroulivirus pyriculariae,Pyricularia oryzae ourmia-like virus 3,Br48,LC413503,Complete genome,PoOLV3
Scleroulivirus,Scleroulivirus rhoplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 78,DMG-F_41358,MN532665,Coding-complete genome,PavOLV78
Scleroulivirus,Scleroulivirus sclerotiniae,Sclerotinia sclerotiorum ourmia-like virus 1,334,KP900928,Coding-complete genome,SsOLV1
Scleroulivirus,Scleroulivirus sigmaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 79,DMS10_26511,MN532666,Coding-complete genome,PavOLV79
Scleroulivirus,Scleroulivirus thetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 69,DMS3_30497,MN532656,Coding-complete genome,PavOLV69
Scleroulivirus,Scleroulivirus xiplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 75,DMS5_37170,MN532662,Coding-complete genome,PavOLV75
Scleroulivirus,Scleroulivirus zetaplasmoparae,Plasmopara viticola lesion associated ourmia-like virus 66,DMG-D_29889,MN532653,Coding-complete genome,PavOLV66
